Trend,TimeOfYear,Year,Month,DayOfMonth,HourOfDay,DayType,Load
0.04954338,0.04954338,2003,1,19,2,1,60606.5
0.04965753,0.04965753,2003,1,19,3,1,59162
0.04977169,0.04977169,2003,1,19,4,1,56315.5
0.04988584,0.04988584,2003,1,19,5,1,54259.5
0.05,0.05,2003,1,19,6,1,53530
0.05011416,0.05011416,2003,1,19,7,1,53238
0.05022831,0.05022831,2003,1,19,8,1,54116.5
0.05034247,0.05034247,2003,1,19,9,1,55761.5
0.05045662,0.05045662,2003,1,19,10,1,58630.5
0.05057078,0.05057078,2003,1,19,11,1,61180.5
0.05068493,0.05068493,2003,1,19,12,1,62483.5
0.05079909,0.05079909,2003,1,19,13,1,63653
0.05091324,0.05091324,2003,1,19,14,1,61447.5
0.0510274,0.0510274,2003,1,19,15,1,58424.5
0.05114155,0.05114155,2003,1,19,16,1,56285.5
0.05125571,0.05125571,2003,1,19,17,1,55253
0.05136986,0.05136986,2003,1,19,18,1,58227
0.05148402,0.05148402,2003,1,19,19,1,63087.5
0.05159817,0.05159817,2003,1,19,20,1,63971.5
0.05171233,0.05171233,2003,1,19,21,1,62768.5
0.05182648,0.05182648,2003,1,19,22,1,59933
0.05194064,0.05194064,2003,1,19,23,1,60376
0.05205479,0.05205479,2003,1,19,24,1,59461.5
0.05216895,0.05216895,2003,1,20,1,2,57510.5
0.05228311,0.05228311,2003,1,20,2,2,57632
0.05239726,0.05239726,2003,1,20,3,2,56970
0.05251142,0.05251142,2003,1,20,4,2,54720.5
0.05262557,0.05262557,2003,1,20,5,2,54238
0.05273973,0.05273973,2003,1,20,6,2,56911
0.05285388,0.05285388,2003,1,20,7,2,61853.5
0.05296804,0.05296804,2003,1,20,8,2,66443.5
0.05308219,0.05308219,2003,1,20,9,2,68065
0.05319635,0.05319635,2003,1,20,10,2,67980
0.0533105,0.0533105,2003,1,20,11,2,67849
0.05342466,0.05342466,2003,1,20,12,2,68212
0.05353881,0.05353881,2003,1,20,13,2,67923
0.05365297,0.05365297,2003,1,20,14,2,67840.5
0.05376712,0.05376712,2003,1,20,15,2,66567
0.05388128,0.05388128,2003,1,20,16,2,65191.5
0.05399543,0.05399543,2003,1,20,17,2,64847.5
0.05410959,0.05410959,2003,1,20,18,2,67353.5
0.05422374,0.05422374,2003,1,20,19,2,70791.5
0.0543379,0.0543379,2003,1,20,20,2,69151
0.05445205,0.05445205,2003,1,20,21,2,65560.5
0.05456621,0.05456621,2003,1,20,22,2,61258.5
0.05468037,0.05468037,2003,1,20,23,2,61535.5
0.05479452,0.05479452,2003,1,20,24,2,60505.5
0.05490868,0.05490868,2003,1,21,1,3,57842.5
0.05502283,0.05502283,2003,1,21,2,3,59893.5
0.05513699,0.05513699,2003,1,21,3,3,58794
0.05525114,0.05525114,2003,1,21,4,3,56211.5
0.0553653,0.0553653,2003,1,21,5,3,55201.5
0.05547945,0.05547945,2003,1,21,6,3,57266.5
0.05559361,0.05559361,2003,1,21,7,3,62795.5
0.05570776,0.05570776,2003,1,21,8,3,69591.5
0.05582192,0.05582192,2003,1,21,9,3,71085
0.05593607,0.05593607,2003,1,21,10,3,70762
0.05605023,0.05605023,2003,1,21,11,3,70355
0.05616438,0.05616438,2003,1,21,12,3,70196.5
0.05627854,0.05627854,2003,1,21,13,3,69178
0.05639269,0.05639269,2003,1,21,14,3,68990
0.05650685,0.05650685,2003,1,21,15,3,67766.5
0.056621,0.056621,2003,1,21,16,3,66285
0.05673516,0.05673516,2003,1,21,17,3,65752.5
0.05684932,0.05684932,2003,1,21,18,3,68243.5
0.05696347,0.05696347,2003,1,21,19,3,72417
0.05707763,0.05707763,2003,1,21,20,3,70663.5
0.05719178,0.05719178,2003,1,21,21,3,67168.5
0.05730594,0.05730594,2003,1,21,22,3,63254
0.05742009,0.05742009,2003,1,21,23,3,63765
0.05753425,0.05753425,2003,1,21,24,3,62202
0.0576484,0.0576484,2003,1,22,1,4,59563.5
0.05776256,0.05776256,2003,1,22,2,4,59133
0.05787671,0.05787671,2003,1,22,3,4,58048.5
0.05799087,0.05799087,2003,1,22,4,4,55667
0.05810502,0.05810502,2003,1,22,5,4,54797.5
0.05821918,0.05821918,2003,1,22,6,4,57073.5
